property_id,ticker,company,address,city,source_url,scrape_date,full_address,latitude,longitude,simplified_address,simplified_full_address
PSPN_075,PSPN,PSP Swiss Property AG,"Bahnhofplatz 1, 2 / Bahnhofquai 9, 11, 15",Zürich,NA,2026-08-26,"Bahnhofplatz 1, 2 / Bahnhofquai 9, 11, 15, Zürich, Switzerland",47.3767867,8.5412647,Bahnhofplatz 1,"Bahnhofplatz 1, Zürich, Switzerland"
PSPN_076,PSPN,PSP Swiss Property AG,Bahnhofplatz 9,Zürich,NA,2026-08-26,"Bahnhofplatz 9, Zürich, Switzerland",47.3771053,8.5388908,Bahnhofplatz 9,"Bahnhofplatz 9, Zürich, Switzerland"
PSPN_077,PSPN,PSP Swiss Property AG,Bahnhofstrasse 10 / Börsenstrasse 18,Zürich,NA,2026-08-26,"Bahnhofstrasse 10 / Börsenstrasse 18, Zürich, Switzerland",47.3681254,8.5400375,Bahnhofstrasse 10,"Bahnhofstrasse 10, Zürich, Switzerland"
PSPN_078,PSPN,PSP Swiss Property AG,Bahnhofstrasse 28a / Waaggasse 6,Zürich,NA,2026-08-26,"Bahnhofstrasse 28a / Waaggasse 6, Zürich, Switzerland",47.3702197,8.5397027,Bahnhofstrasse 28a,"Bahnhofstrasse 28a, Zürich, Switzerland"
PSPN_079,PSPN,PSP Swiss Property AG,Bahnhofstrasse 39,Zürich,NA,2026-08-26,"Bahnhofstrasse 39, Zürich, Switzerland",47.3715237,8.5382565,Bahnhofstrasse 39,"Bahnhofstrasse 39, Zürich, Switzerland"
PSPN_080,PSPN,PSP Swiss Property AG,Bahnhofstrasse 66,Zürich,NA,2026-08-26,"Bahnhofstrasse 66, Zürich, Switzerland",47.3737699,8.5386362,Bahnhofstrasse 66,"Bahnhofstrasse 66, Zürich, Switzerland"
PSPN_081,PSPN,PSP Swiss Property AG,"Bahnhofstrasse 81 / Schweizergasse 2, 4",Zürich,NA,2026-08-26,"Bahnhofstrasse 81 / Schweizergasse 2, 4, Zürich, Switzerland",47.3759089,8.539182,Bahnhofstrasse 81,"Bahnhofstrasse 81, Zürich, Switzerland"
PSPN_082,PSPN,PSP Swiss Property AG,"Binzring 15, 17",Zürich,NA,2026-08-26,"Binzring 15, 17, Zürich, Switzerland",47.3616528,8.5092559,Binzring 15,"Binzring 15, Zürich, Switzerland"
PSPN_083,PSPN,PSP Swiss Property AG,Bleicherweg 10 / Schanzengraben 7,Zürich,NA,2026-08-26,"Bleicherweg 10 / Schanzengraben 7, Zürich, Switzerland",47.3685649,8.536928,Bleicherweg 10,"Bleicherweg 10, Zürich, Switzerland"
PSPN_084,PSPN,PSP Swiss Property AG,Bleicherweg 14,Zürich,NA,2026-08-26,"Bleicherweg 14, Zürich, Switzerland",47.368462,8.5358682,Bleicherweg 14,"Bleicherweg 14, Zürich, Switzerland"
PSPN_085,PSPN,PSP Swiss Property AG,Brandschenkestrasse 70,Zürich,NA,2026-08-26,"Brandschenkestrasse 70, Zürich, Switzerland",47.367369,8.5280219,Brandschenkestrasse 70,"Brandschenkestrasse 70, Zürich, Switzerland"
PSPN_086,PSPN,PSP Swiss Property AG,Brandschenkestrasse 72,Zürich,NA,2026-08-26,"Brandschenkestrasse 72, Zürich, Switzerland",47.3672297,8.5274838,Brandschenkestrasse 72,"Brandschenkestrasse 72, Zürich, Switzerland"
PSPN_087,PSPN,PSP Swiss Property AG,"Brandschenkestrasse 80, 82, 84",Zürich,NA,2026-08-26,"Brandschenkestrasse 80, 82, 84, Zürich, Switzerland",47.3665627,8.5262175,Brandschenkestrasse 80,"Brandschenkestrasse 80, Zürich, Switzerland"
PSPN_088,PSPN,PSP Swiss Property AG,Brandschenkestrasse 90,Zürich,NA,2026-08-26,"Brandschenkestrasse 90, Zürich, Switzerland",47.3657862,8.5264192,Brandschenkestrasse 90,"Brandschenkestrasse 90, Zürich, Switzerland"
PSPN_089,PSPN,PSP Swiss Property AG,Brandschenkestrasse 100,Zürich,NA,2026-08-26,"Brandschenkestrasse 100, Zürich, Switzerland",47.3655261,8.5253399,Brandschenkestrasse 100,"Brandschenkestrasse 100, Zürich, Switzerland"
PSPN_090,PSPN,PSP Swiss Property AG,Brandschenkestrasse 110,Zürich,NA,2026-08-26,"Brandschenkestrasse 110, Zürich, Switzerland",47.3656492,8.5248522,Brandschenkestrasse 110,"Brandschenkestrasse 110, Zürich, Switzerland"
PSPN_091,PSPN,PSP Swiss Property AG,"Brandschenkestrasse 130, 132",Zürich,NA,2026-08-26,"Brandschenkestrasse 130, 132, Zürich, Switzerland",47.3647177,8.525609,Brandschenkestrasse 130,"Brandschenkestrasse 130, Zürich, Switzerland"
PSPN_092,PSPN,PSP Swiss Property AG,Brandschenkestrasse 150,Zürich,NA,2026-08-26,"Brandschenkestrasse 150, Zürich, Switzerland",47.364738,8.5250587,Brandschenkestrasse 150,"Brandschenkestrasse 150, Zürich, Switzerland"
PSPN_093,PSPN,PSP Swiss Property AG,Brandschenkestrasse 152,Zürich,NA,2026-08-26,"Brandschenkestrasse 152, Zürich, Switzerland",47.3645908,8.5244026,Brandschenkestrasse 152,"Brandschenkestrasse 152, Zürich, Switzerland"
PSPN_094,PSPN,PSP Swiss Property AG,Brandschenkestrasse 152a,Zürich,NA,2026-08-26,"Brandschenkestrasse 152a, Zürich, Switzerland",47.3647787,8.5239584,Brandschenkestrasse 152a,"Brandschenkestrasse 152a, Zürich, Switzerland"
PSPN_095,PSPN,PSP Swiss Property AG,Brandschenkestrasse 152b,Zürich,NA,2026-08-26,"Brandschenkestrasse 152b, Zürich, Switzerland",47.364415,8.5240264,Brandschenkestrasse 152b,"Brandschenkestrasse 152b, Zürich, Switzerland"
PSPN_096,PSPN,PSP Swiss Property AG,Dufourstrasse 56,Zürich,NA,2026-08-26,"Dufourstrasse 56, Zürich, Switzerland",47.3617651,8.5490439,Dufourstrasse 56,"Dufourstrasse 56, Zürich, Switzerland"
PSPN_097,PSPN,PSP Swiss Property AG,Förrlibuckstrasse 10,Zürich,NA,2026-08-26,"Förrlibuckstrasse 10, Zürich, Switzerland",47.3919562,8.5169472,Förrlibuckstrasse 10,"Förrlibuckstrasse 10, Zürich, Switzerland"
PSPN_098,PSPN,PSP Swiss Property AG,"Förrlibuckstrasse 60, 62",Zürich,NA,2026-08-26,"Förrlibuckstrasse 60, 62, Zürich, Switzerland",47.3915936,8.5150567,Förrlibuckstrasse 60,"Förrlibuckstrasse 60, Zürich, Switzerland"
PSPN_099,PSPN,PSP Swiss Property AG,Förrlibuckstrasse 66,Zürich,NA,2026-08-26,"Förrlibuckstrasse 66, Zürich, Switzerland",47.3918083,8.5145088,Förrlibuckstrasse 66,"Förrlibuckstrasse 66, Zürich, Switzerland"
PSPN_100,PSPN,PSP Swiss Property AG,Förrlibuckstrasse 110,Zürich,NA,2026-08-26,"Förrlibuckstrasse 110, Zürich, Switzerland",47.3922823,8.5130326,Förrlibuckstrasse 110,"Förrlibuckstrasse 110, Zürich, Switzerland"
PSPN_101,PSPN,PSP Swiss Property AG,Förrlibuckstrasse 151,Zürich,NA,2026-08-26,"Förrlibuckstrasse 151, Zürich, Switzerland",47.3918728,8.5110639,Förrlibuckstrasse 151,"Förrlibuckstrasse 151, Zürich, Switzerland"
PSPN_102,PSPN,PSP Swiss Property AG,Förrlibuckstrasse 181,Zürich,NA,2026-08-26,"Förrlibuckstrasse 181, Zürich, Switzerland",47.3914099,8.5108073,Förrlibuckstrasse 181,"Förrlibuckstrasse 181, Zürich, Switzerland"
PSPN_103,PSPN,PSP Swiss Property AG,Freieckgasse 7,Zürich,NA,2026-08-26,"Freieckgasse 7, Zürich, Switzerland",47.3674376,8.5459546,Freieckgasse 7,"Freieckgasse 7, Zürich, Switzerland"
PSPN_104,PSPN,PSP Swiss Property AG,Füsslistrasse 6,Zürich,NA,2026-08-26,"Füsslistrasse 6, Zürich, Switzerland",47.3732227,8.5373598,Füsslistrasse 6,"Füsslistrasse 6, Zürich, Switzerland"
PSPN_105,PSPN,PSP Swiss Property AG,Gartenstrasse 32,Zürich,NA,2026-08-26,"Gartenstrasse 32, Zürich, Switzerland",47.3681808,8.5322908,Gartenstrasse 32,"Gartenstrasse 32, Zürich, Switzerland"
PSPN_106,PSPN,PSP Swiss Property AG,Genferstrasse 23,Zürich,NA,2026-08-26,"Genferstrasse 23, Zürich, Switzerland",47.3649069,8.5340601,Genferstrasse 23,"Genferstrasse 23, Zürich, Switzerland"
