property_id,ticker,company,report_date,address,city,report_property,target_rental_income_tchf,vacancy_rate_pct,ownership_status,year_construction,year_renovation,site_area_m2,commercial_area_m2,retail_pct,office_pct,hotel_gastronomy_pct,assisted_living_pct,storage_pct,other_pct,source_pdf_page,full_address,simplified_address,simplified_full_address,latitude,longitude,second_pass_address.x,second_pass_full_address.x,second_pass_address.y,second_pass_full_address.y,manual_geocode_address
SPSN_060,SPSN,Swiss Prime Site AG,2025-12-31,Frohburgstrasse 15,Olten,"Olten, Frohburgstrasse 15",584,4.6,sole ownership,1961,1998,596,1866,NA,78.6,NA,NA,21.4,NA,3,"Frohburgstrasse 15, Olten, Switzerland",Frohburgstrasse 15,"Frohburgstrasse 15, Olten, Switzerland",47.3519554,7.9034163,NA,NA,NA,NA,NA
SPSN_061,SPSN,Swiss Prime Site AG,2025-12-31,"Müllackerstrasse 2, 4/Bubenholz",Opfikon,"Opfikon, Müllackerstrasse 2, 4/Bubenholz",2172,NA,sole ownership,2015,NA,6159,10802,NA,NA,NA,100,NA,NA,3,"Müllackerstrasse 2, 4/Bubenholz, Opfikon, Switzerland","Müllackerstrasse 2, 4","Müllackerstrasse 2, 4, Opfikon, Switzerland",47.4336607,8.5699976,Müllackerstrasse 2,"Müllackerstrasse 2, Opfikon, Switzerland",Müllackerstrasse 2,"Müllackerstrasse 2, Opfikon, Switzerland",NA
SPSN_062,SPSN,Swiss Prime Site AG,2025-12-31,Industriestrasse 19/21,Otelfingen,"Otelfingen, Industriestrasse 19/21",8036,9.2,sole ownership,1965,2000,101924,78769,NA,15.8,NA,NA,80.9,3.3,3,"Industriestrasse 19/21, Otelfingen, Switzerland",Industriestrasse 19/21,"Industriestrasse 19/21, Otelfingen, Switzerland",47.4573187,8.4014405,NA,NA,NA,NA,NA
SPSN_063,SPSN,Swiss Prime Site AG,2025-12-31,Industriestrasse 31,Otelfingen,"Otelfingen, Industriestrasse 31",961,0.3,sole ownership,1986,1993,12135,11796,NA,31.3,0.4,NA,66.3,2,3,"Industriestrasse 31, Otelfingen, Switzerland",Industriestrasse 31,"Industriestrasse 31, Otelfingen, Switzerland",47.4563993,8.4005768,NA,NA,NA,NA,NA
SPSN_064,SPSN,Swiss Prime Site AG,2025-12-31,Industriestrasse 35,Otelfingen,"Otelfingen, Industriestrasse 35",244,27.9,sole sole ownership ownership,1985,NA,3237,2980,NA,18.8,NA,NA,56.4,24.8,3,"Industriestrasse 35, Otelfingen, Switzerland",Industriestrasse 35,"Industriestrasse 35, Otelfingen, Switzerland",47.4571242,8.4006055,NA,NA,NA,NA,NA
SPSN_065,SPSN,Swiss Prime Site AG,2025-12-31,"Riva Paradiso 3, 20/Du Lac",Paradiso,"Paradiso, Riva Paradiso 3, 20/Du Lac",3317,NA,partial lease land,2024,NA,3086,8337,NA,NA,NA,100,NA,NA,3,"Riva Paradiso 3, 20/Du Lac, Paradiso, Switzerland","Riva Paradiso 3, 20","Riva Paradiso 3, 20, Paradiso, Switzerland",45.9834424,8.956559,Riva Paradiso 3,"Riva Paradiso 3, Paradiso, Switzerland",Riva Paradiso 3,"Riva Paradiso 3, Paradiso, Switzerland",NA
SPSN_066,SPSN,Swiss Prime Site AG,2025-12-31,Route de Bussy 2,Payerne,"Payerne, Route de Bussy 2",1273,NA,sole ownership,2006,NA,12400,6052,83.6,4.3,NA,NA,10.9,1.2,3,"Route de Bussy 2, Payerne, Switzerland",Route de Bussy 2,"Route de Bussy 2, Payerne, Switzerland",46.8242093,6.928549,NA,NA,NA,NA,NA
SPSN_067,SPSN,Swiss Prime Site AG,2025-12-31,Route de Chancy 59,Petit-Lancy,"Petit-Lancy, Route de Chancy 59",6928,17.4,sole ownership,1990,NA,13052,22844,NA,70.2,6.3,NA,21.7,1.8,3,"Route de Chancy 59, Petit-Lancy, Switzerland",Route de Chancy 59,"Route de Chancy 59, Petit-Lancy, Switzerland",46.1877509,6.1129671,NA,NA,NA,NA,NA
SPSN_068,SPSN,Swiss Prime Site AG,2025-12-31,Huobstrasse 5,Pfäffikon SZ,"Pfäffikon SZ, Huobstrasse 5",2982,NA,sole sole ownership ownership,2004,NA,7005,11660,NA,NA,NA,100,NA,NA,3,"Huobstrasse 5, Pfäffikon SZ, Switzerland",Huobstrasse 5,"Huobstrasse 5, Pfäffikon SZ, Switzerland",47.2006239,8.7818946,NA,NA,NA,NA,NA
SPSN_069,SPSN,Swiss Prime Site AG,2025-12-31,Route des Flumeaux 46/48,Prilly,"Prilly, Route des Flumeaux 46/48",1781,NA,19.08.2025 bought,2022,NA,9895,13290,NA,92.7,NA,NA,7.3,NA,3,"Route des Flumeaux 46/48, Prilly, Switzerland",Route des Flumeaux 46/48,"Route des Flumeaux 46/48, Prilly, Switzerland",46.531758,6.6040986,NA,NA,NA,NA,NA
SPSN_070,SPSN,Swiss Prime Site AG,2025-12-31,"Gartenstrasse 7, 17/Etzelblick 4",Richterswil,"Richterswil, Gartenstrasse 7, 17/Etzelblick 4",2225,NA,sole ownership,2022,NA,6417,8167,NA,NA,NA,100,NA,NA,3,"Gartenstrasse 7, 17/Etzelblick 4, Richterswil, Switzerland","Gartenstrasse 7, 17/Etzelblick 4","Gartenstrasse 7, 17/Etzelblick 4, Richterswil, Switzerland",47.2059866,8.7090514,Gartenstrasse 7,"Gartenstrasse 7, Richterswil, Switzerland",Gartenstrasse 7,"Gartenstrasse 7, Richterswil, Switzerland",NA
SPSN_071,SPSN,Swiss Prime Site AG,2025-12-31,Zürcherstrasse 39/JED,Schlieren,"Schlieren, Zürcherstrasse 39/JED",7364,5.4,sole ownership,2003,2021,18845,24649,NA,76.7,8.3,NA,8.7,6.3,4,"Zürcherstrasse 39/JED, Schlieren, Switzerland",Zürcherstrasse 39,"Zürcherstrasse 39, Schlieren, Switzerland",47.3993744,8.454273,NA,NA,NA,NA,NA
SPSN_072,SPSN,Swiss Prime Site AG,2025-12-31,Zürcherstrasse 39/JED Neubau2,Schlieren,"Schlieren, Zürcherstrasse 39/JED Neubau2",4538,1.9,sole ownership,2025,NA,7897,14125,NA,52.8,NA,NA,37.7,9.5,4,"Zürcherstrasse 39/JED Neubau2, Schlieren, Switzerland",Zürcherstrasse 39/JED Neubau2,"Zürcherstrasse 39/JED Neubau2, Schlieren, Switzerland",47.3993744,8.454273,Zürcherstrasse 39,"Zürcherstrasse 39, Schlieren, Switzerland",Zürcherstrasse 39,"Zürcherstrasse 39, Schlieren, Switzerland",NA
SPSN_073,SPSN,Swiss Prime Site AG,2025-12-31,Industriestrasse/Tivoli,Spreitenbach,"Spreitenbach, Industriestrasse/Tivoli",534,NA,freehold property,1974,2010,25780,980,87.2,NA,NA,NA,12.8,NA,4,"Industriestrasse/Tivoli, Spreitenbach, Switzerland",Industriestrasse,"Industriestrasse, Spreitenbach, Switzerland",47.4161188,8.3815227,NA,NA,NA,NA,NA
SPSN_074,SPSN,Swiss Prime Site AG,2025-12-31,Pfadackerstrasse 6/Limmatpark1,Spreitenbach,"Spreitenbach, Pfadackerstrasse 6/Limmatpark1",2301,NA,sole sole ownership ownership,1972,2003,10318,28438,62.5,27.1,NA,NA,7.4,3,4,"Pfadackerstrasse 6/Limmatpark1, Spreitenbach, Switzerland",Pfadackerstrasse 6/Limmatpark1,"Pfadackerstrasse 6/Limmatpark1, Spreitenbach, Switzerland",47.4245862,8.3710654,Pfadackerstrasse 6,"Pfadackerstrasse 6, Spreitenbach, Switzerland",Pfadackerstrasse 6,"Pfadackerstrasse 6, Spreitenbach, Switzerland",NA
SPSN_075,SPSN,Swiss Prime Site AG,2025-12-31,Zürcherstrasse 462–464/Shopping Arena,St. Gallen,"St. Gallen, Zürcherstrasse 462–464/Shopping Arena",16213,0.8,parking co-ownership 73/100,2008,NA,33106,39231,56.4,9.9,9.3,NA,21.8,2.6,4,"Zürcherstrasse 462–464/Shopping Arena, St. Gallen, Switzerland",Zürcherstrasse 462–464,"Zürcherstrasse 462–464, St. Gallen, Switzerland",47.4075768,9.2964245,NA,NA,NA,NA,NA
