ticker,country,country_code,folder,year,debt_to_assets,dividend_per_share,dividend_yield,fa_total_assets,net_debt_ebitda,net_income,pe_ratio,profit_margin
PSPN,Switzerland,SW,SW_PSPN,2023,35.413,3.9637,,10540.6528,24.3669,380.7396,,
PSPN,Switzerland,SW,SW_PSPN,2024,34.108,4.095,,10563.0961,7.0138,375.1923,,
PSPN,Switzerland,SW,SW_PSPN,2025,33.1095,4.2167,,10929.1044,6.2413,376.5285,,
PSPN,Switzerland,SW,SW_PSPN,2026,,4.35,,,,,,
PSPN,Switzerland,SW,SW_PSPN,2027,,4.406,,,,,,
SPSN,Switzerland,SW,SW_SPSN,2001,48.9876,,,1178.341,8.6478,,,
SPSN,Switzerland,SW,SW_SPSN,2002,45.5072,,,1402.0472,12.3714,,,
SPSN,Switzerland,SW,SW_SPSN,2003,50.2832,,,1457.1326,13.8677,72.6389,,
SPSN,Switzerland,SW,SW_SPSN,2004,58.2291,0.0,,2161.6471,,84.9144,,
SPSN,Switzerland,SW,SW_SPSN,2005,55.5196,,,2165.0271,13.012,125.164,,
SPSN,Switzerland,SW,SW_SPSN,2006,56.1111,0.0,,2179.6349,13.5346,121.9289,,
SPSN,Switzerland,SW,SW_SPSN,2007,58.9633,0.0,,2250.7529,14.6385,124.6233,,
SPSN,Switzerland,SW,SW_SPSN,2008,57.55,0.0,,2568.3716,13.8667,132.195,,
SPSN,Switzerland,SW,SW_SPSN,2009,51.721,2.3188,,5751.673,19.3489,193.7112,,
SPSN,Switzerland,SW,SW_SPSN,2010,50.1927,2.5401,,6663.2318,9.5043,431.989,,
SPSN,Switzerland,SW,SW_SPSN,2011,48.3345,2.9263,,7079.2258,6.6325,526.9372,,
SPSN,Switzerland,SW,SW_SPSN,2012,44.6582,2.9872,,7652.895,7.527,485.1082,,
SPSN,Switzerland,SW,SW_SPSN,2013,48.0919,2.9255,,8579.3342,8.9542,621.3776,,
SPSN,Switzerland,SW,SW_SPSN,2014,46.8382,3.0466,,8815.8203,9.7503,702.1026,,
SPSN,Switzerland,SW,SW_SPSN,2015,39.8631,3.4662,,9841.4993,7.4655,932.3187,,
SPSN,Switzerland,SW,SW_SPSN,2016,42.4667,3.3949,,9841.1858,9.6117,962.9286,,
SPSN,Switzerland,SW,SW_SPSN,2017,43.718,3.4223,,9479.2353,9.6697,1040.006,,
SPSN,Switzerland,SW,SW_SPSN,2018,43.3535,3.2907,,10403.6476,10.1557,1051.3811,,
SPSN,Switzerland,SW,SW_SPSN,2019,43.7238,1.7084,,11335.4568,8.2419,1131.8705,,
SPSN,Switzerland,SW,SW_SPSN,2020,40.5775,3.1299,,11760.0145,6.6363,740.823,,
SPSN,Switzerland,SW,SW_SPSN,2021,40.2245,3.0996,,13008.6492,7.7132,693.4719,,
SPSN,Switzerland,SW,SW_SPSN,2022,39.9777,3.3864,,13946.2885,9.877,643.9975,,
SPSN,Switzerland,SW,SW_SPSN,2023,41.3154,3.5004,,14839.4188,38.4254,678.031,,
SPSN,Switzerland,SW,SW_SPSN,2024,40.1737,3.6225,,14732.8142,10.4771,697.4473,,
SPSN,Switzerland,SW,SW_SPSN,2025,39.9339,3.7364,,15780.7589,9.3001,592.4642,,
SPSN,Switzerland,SW,SW_SPSN,2026,,3.882,,,,,,
SPSN,Switzerland,SW,SW_SPSN,2027,,3.953,,,,,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2011,28.1449,0.0,,730.1436,1.8161,40.3714,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2012,26.4349,0.0,,783.5318,3.151,26.9316,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2013,25.4602,0.0,,801.3822,3.7643,48.0222,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2014,29.4089,0.0,,904.7803,5.0168,51.1052,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2015,29.4234,0.0,,1095.0543,3.2885,58.9288,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2016,27.675,0.0,,1179.4881,4.9569,56.1827,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2017,32.3415,0.0,,1215.0195,8.7131,58.89,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2018,35.7193,0.0,,1379.3936,10.0241,61.3348,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2019,36.1005,30.6604,,1525.0561,7.7884,108.2358,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2020,36.3887,34.9429,,1502.781,12.1358,131.1704,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2021,33.836,38.1662,,1598.0061,5.6139,69.6513,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2022,36.8551,44.9197,,1814.8557,11.3782,79.8096,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2023,37.3165,53.7213,,1945.9674,15.8598,87.2986,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2024,35.9033,132.9731,,1951.3908,7.9349,93.2366,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2025,34.6193,196.1159,,2048.2005,5.8366,97.6811,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2026,,55.148,,,,,,
ZUGEST,Switzerland,SW,SW_ZUGEST,2027,,56.803,,,,,,
ZUGN,Switzerland,SW,SW_ZUGN,2011,28.1449,0.0,,730.1436,1.8161,40.3714,,
ZUGN,Switzerland,SW,SW_ZUGN,2012,26.4349,0.0,,783.5318,3.151,26.9316,,
ZUGN,Switzerland,SW,SW_ZUGN,2013,25.4602,0.0,,801.3822,3.7643,48.0222,,
ZUGN,Switzerland,SW,SW_ZUGN,2014,29.4089,0.0,,904.7803,5.0168,51.1052,,
ZUGN,Switzerland,SW,SW_ZUGN,2015,29.4234,0.0,,1095.0543,3.2885,58.9288,,
ZUGN,Switzerland,SW,SW_ZUGN,2016,27.675,0.0,,1179.4881,4.9569,56.1827,,
ZUGN,Switzerland,SW,SW_ZUGN,2017,32.3415,0.0,,1215.0195,8.7131,58.89,,
ZUGN,Switzerland,SW,SW_ZUGN,2018,35.7193,0.0,,1379.3936,10.0241,61.3348,,
ZUGN,Switzerland,SW,SW_ZUGN,2019,36.1005,30.6604,,1525.0561,7.7884,108.2358,,
ZUGN,Switzerland,SW,SW_ZUGN,2020,36.3887,34.9429,,1502.781,12.1358,131.1704,,
ZUGN,Switzerland,SW,SW_ZUGN,2021,33.836,38.1662,,1598.0061,5.6139,69.6513,,
ZUGN,Switzerland,SW,SW_ZUGN,2022,36.8551,44.9197,,1814.8557,11.3782,79.8096,,
ZUGN,Switzerland,SW,SW_ZUGN,2023,37.3165,53.7213,,1945.9674,15.8598,87.2986,,
ZUGN,Switzerland,SW,SW_ZUGN,2024,35.9033,132.9731,,1951.3908,7.9349,93.2366,,
ZUGN,Switzerland,SW,SW_ZUGN,2025,34.6193,196.1159,,2048.2005,5.8366,97.6811,,
ZUGN,Switzerland,SW,SW_ZUGN,2026,,55.148,,,,,,
ZUGN,Switzerland,SW,SW_ZUGN,2027,,56.803,,,,,,
