date,total_return_index,price,total_assets,market_cap,folder,country_code,country,ticker,monthly_return,monthly_log_return
2018-01-31,314.13767,221.80184,2730.2853,1396.0491,SW_MOBN,SW,Switzerland,MOBN,0.004901932244910867,0.004889956894005126
2018-02-28,312.51371,220.65522,2730.2853,1388.8321,SW_MOBN,SW,Switzerland,MOBN,-0.005169580585480227,-0.005182989098082061
2018-03-29,300.92475,212.47265,2730.2853,1337.33,SW_MOBN,SW,Switzerland,MOBN,-0.037083045092645595,-0.03778810672044162
2018-04-30,299.76169,211.65145,2730.2853,1332.1612,SW_MOBN,SW,Switzerland,MOBN,-0.0038649529492008616,-0.0038724411805189586
2018-05-31,304.40658,214.93105,2730.2853,1352.8034,SW_MOBN,SW,Switzerland,MOBN,0.015495275597091851,0.015376449735104061
2018-06-29,308.22064,208.95376,2728.6581,1315.1816,SW_MOBN,SW,Switzerland,MOBN,0.012529492627918914,0.012451648095731408
2018-07-31,309.48713,209.81235,2728.6581,1320.5857,SW_MOBN,SW,Switzerland,MOBN,0.004109036954825562,0.004100617917355012
2018-08-31,312.87327,212.10794,2728.6581,1417.3451,SW_MOBN,SW,Switzerland,MOBN,0.010941133481059406,0.010881712310550936
2018-09-28,298.16829,202.13891,2728.6581,1350.7301,SW_MOBN,SW,Switzerland,MOBN,-0.04699979643515084,-0.0481401617237089
2018-10-31,286.72708,194.38251,2728.6581,1298.9004,SW_MOBN,SW,Switzerland,MOBN,-0.038371652465122974,-0.039127236086126366
2018-11-30,301.08726,204.11778,2728.6581,1363.9533,SW_MOBN,SW,Switzerland,MOBN,0.050083096441396524,0.0488693005060662
2018-12-28,302.71269,205.21972,2987.3335,1372.5086,SW_MOBN,SW,Switzerland,MOBN,0.005398534630790985,0.005384014776559716
2019-01-31,311.8409,211.40806,2987.3335,1412.6683,SW_MOBN,SW,Switzerland,MOBN,0.030154698833405158,0.0297089840058396
2019-02-28,304.19736,206.22624,2987.3335,1378.0424,SW_MOBN,SW,Switzerland,MOBN,-0.024511024692399186,-0.024816420563971542
2019-03-29,326.72792,221.5005,2987.3335,1480.1079,SW_MOBN,SW,Switzerland,MOBN,0.07406560004334017,0.07145107433620056
2019-04-30,311.95466,203.17576,2987.3335,1357.6585,SW_MOBN,SW,Switzerland,MOBN,-0.04521578688469596,-0.04626991888613547
2019-05-31,326.88673,212.901,2987.3335,1422.6444,SW_MOBN,SW,Switzerland,MOBN,0.04786615465208954,0.046755862715959835
2019-06-28,354.72663,231.0331,3014.608,1543.8065,SW_MOBN,SW,Switzerland,MOBN,0.0851668099222016,0.08173371703913399
2019-07-31,365.59709,238.11302,3014.608,1591.1159,SW_MOBN,SW,Switzerland,MOBN,0.030644612162328944,0.030184443538011408
2019-08-30,389.6216,253.76016,3014.608,1695.673,SW_MOBN,SW,Switzerland,MOBN,0.06571307774905977,0.06364413168027926
2019-09-30,393.15402,256.06082,3014.608,1711.0464,SW_MOBN,SW,Switzerland,MOBN,0.00906628379946084,0.009025431780173327
2019-10-31,383.50878,249.77888,3014.608,1669.0694,SW_MOBN,SW,Switzerland,MOBN,-0.0245329807386937,-0.024838928551190693
2019-11-29,395.30738,257.4633,3014.608,1720.4181,SW_MOBN,SW,Switzerland,MOBN,0.030764875839348615,0.030301124554428675
2019-12-30,403.20684,262.60821,3191.022,1755.0663,SW_MOBN,SW,Switzerland,MOBN,0.01998308253187675,0.01978604140557258
2020-01-31,441.58847,287.60612,3191.022,1921.8381,SW_MOBN,SW,Switzerland,MOBN,0.09519091987625994,0.09092870412159333
2020-02-28,412.20027,268.46562,3191.022,1793.9376,SW_MOBN,SW,Switzerland,MOBN,-0.06655110356481908,-0.06886906154259652
2020-03-31,387.20017,252.18308,3191.022,1685.1346,SW_MOBN,SW,Switzerland,MOBN,-0.06065037269383633,-0.06256752902606574
2020-04-30,380.30969,247.69532,3191.022,1655.1466,SW_MOBN,SW,Switzerland,MOBN,-0.01779565334385058,-0.017955899958003278
2020-05-29,388.66415,253.13657,3191.022,1691.5061,SW_MOBN,SW,Switzerland,MOBN,0.021967518103469974,0.021729708598810356
2020-06-30,390.31852,254.21406,3483.3561,1698.7061,SW_MOBN,SW,Switzerland,MOBN,0.004256554148356573,0.004247520647066957
2020-07-31,375.10746,235.34115,3483.3561,1572.5938,SW_MOBN,SW,Switzerland,MOBN,-0.038970889723603075,-0.03975057881985011
2020-08-31,387.71093,243.24853,3483.3561,1625.4324,SW_MOBN,SW,Switzerland,MOBN,0.033599625024786306,0.03304749126051758
2020-09-30,394.3685,247.42547,3483.3561,1653.3434,SW_MOBN,SW,Switzerland,MOBN,0.017171478761251135,0.01702571520423747
2020-10-30,390.73708,245.14713,3483.3561,1638.1191,SW_MOBN,SW,Switzerland,MOBN,-0.009208189802177413,-0.009250847249073688
2020-11-30,385.37645,241.78389,3483.3561,1615.6453,SW_MOBN,SW,Switzerland,MOBN,-0.01371927639936299,-0.013814255367455265
2020-12-30,415.02442,260.38493,3335.9678,1744.7029,SW_MOBN,SW,Switzerland,MOBN,0.07693249029617677,0.07411671310482665
2021-01-29,409.56691,256.9609,3335.9678,1717.061,SW_MOBN,SW,Switzerland,MOBN,-0.013149852724328892,-0.013237077543878786
2021-02-26,406.14147,254.81179,3335.9678,1702.7002,SW_MOBN,SW,Switzerland,MOBN,-0.008363566285176649,-0.008398737145517119
2021-03-31,410.3891,257.47674,3335.9678,1720.5079,SW_MOBN,SW,Switzerland,MOBN,0.010458498611333633,0.010404186866067226
2021-04-30,415.91286,260.94233,3335.9678,1743.6656,SW_MOBN,SW,Switzerland,MOBN,0.01345981167628496,0.013370033115610752
2021-05-31,434.11921,272.36493,3335.9678,1819.9936,SW_MOBN,SW,Switzerland,MOBN,0.04377443390425584,0.042843406637553115
2021-06-30,436.51616,273.86877,3356.0708,1830.0425,SW_MOBN,SW,Switzerland,MOBN,0.005521409660724341,0.005506222555576571
2021-07-30,470.50974,285.86922,3356.0708,1910.2318,SW_MOBN,SW,Switzerland,MOBN,0.07787473435118653,0.07499126383427242
2021-08-31,485.67212,295.08148,3356.0708,1971.7898,SW_MOBN,SW,Switzerland,MOBN,0.032225432782751806,0.031717085823201575
2021-09-30,467.11694,283.80784,3356.0708,1896.4573,SW_MOBN,SW,Switzerland,MOBN,-0.03820515783364298,-0.038954112841291515
2021-10-29,474.1772,288.09747,3356.0708,1925.1213,SW_MOBN,SW,Switzerland,MOBN,0.015114544978822808,0.015001458322305178
2021-11-30,468.61815,284.71994,3356.0708,1902.5521,SW_MOBN,SW,Switzerland,MOBN,-0.011723570850728393,-0.011792833778906074
2021-12-30,480.11881,291.70743,3644.2037,1943.465,SW_MOBN,SW,Switzerland,MOBN,0.024541644407072072,0.024245336389060717
2022-01-31,472.20851,286.90135,3644.2037,1917.1286,SW_MOBN,SW,Switzerland,MOBN,-0.016475713584310547,-0.016612947593458816
2022-02-28,486.45889,295.5595,3644.2037,1974.984,SW_MOBN,SW,Switzerland,MOBN,0.03017815159663262,0.029731750000395848
2022-03-31,469.36103,285.17129,3644.2037,1905.5681,SW_MOBN,SW,Switzerland,MOBN,-0.035147594897484535,-0.035780137421196394
2022-04-29,463.8125,272.53037,3644.2037,1801.3042,SW_MOBN,SW,Switzerland,MOBN,-0.0118214543717019,-0.011891883362430787
2022-05-31,418.6206,245.97618,3644.2037,1786.2055,SW_MOBN,SW,Switzerland,MOBN,-0.09743570947311675,-0.10251535527139946
2022-06-30,394.92821,232.05483,3834.4,1685.1128,SW_MOBN,SW,Switzerland,MOBN,-0.05659633090201499,-0.05826101891123159
2022-07-29,428.55425,251.81307,3834.4,1828.5912,SW_MOBN,SW,Switzerland,MOBN,0.08514468996782987,0.08171333291052053
2022-08-31,416.58748,244.78154,3834.4,1777.5304,SW_MOBN,SW,Switzerland,MOBN,-0.027923582603602726,-0.028320858891414294
2022-09-30,379.9063,223.22814,3834.4,1621.016,SW_MOBN,SW,Switzerland,MOBN,-0.08805156602401987,-0.09217183219935168
2022-10-31,401.52798,235.93277,3834.4,1713.2733,SW_MOBN,SW,Switzerland,MOBN,0.056913191489585735,0.05535257625869485
2022-11-30,398.86231,234.36646,3834.4,1701.8991,SW_MOBN,SW,Switzerland,MOBN,-0.00663881505841768,-0.006660950012074612
2022-12-30,406.74827,239.00015,3904.4907,1735.5476,SW_MOBN,SW,Switzerland,MOBN,0.019771133552327846,0.019578223249208035
2023-01-31,401.19878,235.73934,3904.4907,1711.8686,SW_MOBN,SW,Switzerland,MOBN,-0.013643549117000497,-0.013737477657515255
2023-02-28,404.88198,237.90354,3904.4907,1727.5844,SW_MOBN,SW,Switzerland,MOBN,0.009180486540861343,0.009138602025953664
2023-03-31,407.81553,239.62726,3904.4907,1740.1015,SW_MOBN,SW,Switzerland,MOBN,0.007245444709591764,0.007219322576826249
2023-04-28,430.45612,242.81311,3904.4907,1763.2362,SW_MOBN,SW,Switzerland,MOBN,0.055516743072535624,0.05403045087349729
2023-05-31,431.97281,243.66864,3904.4907,1769.4488,SW_MOBN,SW,Switzerland,MOBN,0.0035234485689272788,0.0035172557664358596
2023-06-30,437.37432,246.71555,4044.8809,1791.5745,SW_MOBN,SW,Switzerland,MOBN,0.012504282387588272,0.012426749508218466
2023-07-31,476.97481,269.05352,4044.8809,1953.7862,SW_MOBN,SW,Switzerland,MOBN,0.09054141541734784,0.08667428431284577
2023-08-31,478.86884,270.12191,4044.8809,1961.5446,SW_MOBN,SW,Switzerland,MOBN,0.003970922489596518,0.003963059186391883
2023-09-29,449.90518,253.78399,4044.8809,1842.9035,SW_MOBN,SW,Switzerland,MOBN,-0.06048349272422904,-0.06238989000540901
2023-10-31,462.59364,260.94134,4044.8809,1894.878,SW_MOBN,SW,Switzerland,MOBN,0.028202520362179406,0.02781215187355084
2023-11-30,481.91477,271.84007,4044.8809,1974.0213,SW_MOBN,SW,Switzerland,MOBN,0.041766959874329324,0.04091827136484714
2023-12-29,498.33298,281.10131,4111.1669,2041.2736,SW_MOBN,SW,Switzerland,MOBN,0.03406870057126499,0.03350121543737817
2024-01-31,485.59142,273.91401,4111.1669,1989.0816,SW_MOBN,SW,Switzerland,MOBN,-0.025568365954828032,-0.025900917400395053
2024-02-29,480.98291,271.31442,4111.1669,1970.2042,SW_MOBN,SW,Switzerland,MOBN,-0.009490509531655311,-0.009535831396909975
2024-03-28,490.09155,266.17516,4111.1669,1932.8844,SW_MOBN,SW,Switzerland,MOBN,0.018937554350943575,0.01876047105853672
2024-04-30,482.84919,262.24173,4111.1669,1904.321,SW_MOBN,SW,Switzerland,MOBN,-0.014777565538520276,-0.01488784151564594
2024-05-31,482.94889,262.29588,4111.1669,1904.7143,SW_MOBN,SW,Switzerland,MOBN,0.00020648269079615034,0.00020646137617936694
